"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"400","SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","ILL"
"410","SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","ILL"
"411","SERIES STATEMENT/ADDED ENTRY--MEETING NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--MEETING NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","ILL"
"440","SERIES STATEMENT/ADDED ENTRY--TITLE","SERIES STATEMENT/ADDED ENTRY--TITLE","1","0","0","","","","ILL"
"490","SERIES STATEMENT","SERIES STATEMENT","1","0","0","","","","ILL"
"500","GENERAL NOTE","GENERAL NOTE","1","0","0","","","","ILL"
"501","WITH NOTE","WITH NOTE","1","0","0","","","","ILL"
"502","DISSERTATION NOTE","DISSERTATION NOTE","1","0","0","","","","ILL"
"503","BIBLIOGRAPHIC HISTORY NOTE (BK CF MU) [OBSOLETE]","BIBLIOGRAPHIC HISTORY NOTE (BK CF MU) [OBSOLETE]","1","0","0","","","","ILL"
"504","BIBLIOGRAPHY, ETC. NOTE","BIBLIOGRAPHY, ETC. NOTE","1","0","0","","","","ILL"
"505","FORMATTED CONTENTS NOTE","FORMATTED CONTENTS NOTE","1","0","0","","","","ILL"
"506","RESTRICTIONS ON ACCESS NOTE","RESTRICTIONS ON ACCESS NOTE","1","0","0","","","","ILL"
"507","SCALE NOTE FOR GRAPHIC MATERIAL","SCALE NOTE FOR GRAPHIC MATERIAL","0","0","0","","","","ILL"
"508","CREATION/PRODUCTION CREDITS NOTE","CREATION/PRODUCTION CREDITS NOTE","1","0","0","","","","ILL"
"509","INFORMAL NOTES (RLIN)","INFORMAL NOTES (RLIN)","0","0","0","","","","ILL"
"510","CITATION/REFERENCES NOTE","CITATION/REFERENCES NOTE","1","0","0","","","","ILL"
"511","PARTICIPANT OR PERFORMER NOTE","PARTICIPANT OR PERFORMER NOTE","1","0","0","","","","ILL"
"512","EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE (SE) [OBSOLETE]","EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE (SE) [OBSOLETE]","1","0","0","","","","ILL"
"513","TYPE OF REPORT AND PERIOD COVERED NOTE","TYPE OF REPORT AND PERIOD COVERED NOTE","1","0","0","","","","ILL"
"514","DATA QUALITY NOTE","DATA QUALITY NOTE","0","0","0","","","","ILL"
"515","NUMBERING PECULIARITIES NOTE","NUMBERING PECULIARITIES NOTE","1","0","0","","","","ILL"
"516","TYPE OF COMPUTER FILE OR DATA NOTE","TYPE OF COMPUTER FILE OR DATA NOTE","1","0","0","","","","ILL"
"517","CATEGORIES OF FILMS NOTE (ARCHIVAL) (VM) [OBSOLETE]","CATEGORIES OF FILMS NOTE (ARCHIVAL) (VM) [OBSOLETE]","0","0","0","","","","ILL"
"518","DATE/TIME AND PLACE OF AN EVENT NOTE","DATE/TIME AND PLACE OF AN EVENT NOTE","1","0","0","","","","ILL"
"520","SUMMARY, ETC.","SUMMARY, ETC.","1","0","0","","","","ILL"
"521","TARGET AUDIENCE NOTE","TARGET AUDIENCE NOTE","1","0","0","","","","ILL"
"522","GEOGRAPHIC COVERAGE NOTE","GEOGRAPHIC COVERAGE NOTE","1","0","0","","","","ILL"
"523","TIME PERIOD OF CONTENT NOTE (CF) [OBSOLETE]","TIME PERIOD OF CONTENT NOTE (CF) [OBSOLETE]","0","0","0","","","","ILL"
"524","PREFERRED CITATION OF DESCRIBED MATERIALS NOTE","PREFERRED CITATION OF DESCRIBED MATERIALS NOTE","1","0","0","","","","ILL"
"525","SUPPLEMENT NOTE","SUPPLEMENT NOTE","0","0","0","","","","ILL"
"526","STUDY PROGRAM INFORMATION NOTE","STUDY PROGRAM INFORMATION NOTE","0","0","0","","","","ILL"
"527","CENSORSHIP NOTE (VM) [OBSOLETE]","CENSORSHIP NOTE (VM) [OBSOLETE]","1","0","0","","","","ILL"
"530","ADDITIONAL PHYSICAL FORM AVAILABLE NOTE","ADDITIONAL PHYSICAL FORM AVAILABLE NOTE","1","0","0","","","","ILL"
"533","REPRODUCTION NOTE","REPRODUCTION NOTE","1","0","0","","","","ILL"
"534","ORIGINAL VERSION NOTE","ORIGINAL VERSION NOTE","1","0","0","","","","ILL"
"535","LOCATION OF ORIGINALS/DUPLICATES NOTE","LOCATION OF ORIGINALS/DUPLICATES NOTE","1","0","0","","","","ILL"
"536","FUNDING INFORMATION NOTE","FUNDING INFORMATION NOTE","1","0","0","","","","ILL"
"537","SOURCE OF DATA NOTE (CF) [OBSOLETE]","SOURCE OF DATA NOTE (CF) [OBSOLETE]","0","0","0","","","","ILL"
"538","SYSTEM DETAILS NOTE","SYSTEM DETAILS NOTE","1","0","0","","","","ILL"
"540","TERMS GOVERNING USE AND REPRODUCTION NOTE","TERMS GOVERNING USE AND REPRODUCTION NOTE","1","0","0","","","","ILL"
"541","IMMEDIATE SOURCE OF ACQUISITION NOTE","IMMEDIATE SOURCE OF ACQUISITION NOTE","1","0","0","","","","ILL"
"543","SOLICITATION INFORMATION NOTE (AM) [OBSOLETE]","SOLICITATION INFORMATION NOTE (AM) [OBSOLETE]","1","0","0","","","","ILL"
"544","LOCATION OF OTHER ARCHIVAL MATERIALS NOTE","LOCATION OF OTHER ARCHIVAL MATERIALS NOTE","1","0","0","","","","ILL"
