"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"340","e","Support","Support","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"340","f","Production rate/ratio","Production rate/ratio","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"340","h","Location within medium","Location within medium","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"340","i","Technical specifications of medium","Technical specifications of medium","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","2","Reference method used","Reference method used","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","a","Name","Name","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","b","Coordinate or distance units","Coordinate or distance units","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","c","Latitude resolution","Latitude resolution","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","d","Longitude resolution","Longitude resolution","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","e","Standard parallel or oblique line latitude","Standard parallel or oblique line latitude","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","f","Oblique line longitude","Oblique line longitude","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","g","Longitude of central meridian or projection center","Longitude of central meridian or projection center","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","h","Latitude of projection origin or projection center","Latitude of projection origin or projection center","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","i","False easting","False easting","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","j","False northing","False northing","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","k","Scale factor","Scale factor","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","l","Height of perspective point above surface","Height of perspective point above surface","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","m","Azimuthal angle","Azimuthal angle","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","n","Azimuth measure point longitude or straight vertical longitude from pole","Azimuth measure point longitude or straight vertical longitude from pole","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","o","Landsat number and path number","Landsat number and path number","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","p","Zone identifier","Zone identifier","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","q","Ellipsoid name","Ellipsoid name","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","r","Semi-major axis","Semi-major axis","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","s","Denominator of flattening ratio","Denominator of flattening ratio","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","t","Vertical resolution","Vertical resolution","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","u","Vertical encoding method","Vertical encoding method","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","v","Local planar, local, or other projection or grid description","Local planar, local, or other projection or grid description","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"342","w","Local planar or local georeference information","Local planar or local georeference information","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","a","Planar coordinate encoding method","Planar coordinate encoding method","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","b","Planar distance units","Planar distance units","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","c","Abscissa resolution","Abscissa resolution","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","d","Ordinate resolution","Ordinate resolution","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","e","Distance resolution","Distance resolution","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","f","Bearing resolution","Bearing resolution","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","g","Bearing unit","Bearing unit","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","h","Bearing reference direction","Bearing reference direction","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"343","i","Bearing reference meridian","Bearing reference meridian","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"344","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","2","Source","Source","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","3","Material specified","Material specified","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","a","Type of recording","Type of recording","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","b","Recording medium","Recording medium","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","c","Playing speed","Playing speed","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","d","Groove characteristic","Groove characteristic","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","e","Track configuration","Track configuration","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","f","Tape configuration","Tape configuration","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","g","Configuration of playback channels","Configuration of playback channels","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"344","h","Special playback characteristics","Special playback characteristics","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"345","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"345","2","Source","Source","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"345","3","Material specified","Material specified","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"345","a","Presentation format","Presentation format","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"345","b","Projection speed","Projection speed","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"346","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"346","2","Source","Source","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"346","3","Material specified","Material specified","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"346","a","Video format","Video format","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"346","b","Broadcast standard","Broadcast standard","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","2","Source","Source","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","3","Material specified","Material specified","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","a","File type","File type","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","b","Encoding format","Encoding format","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","c","File size","File size","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","d","Resolution","Resolution","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","e","Regional encoding","Regional encoding","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"347","f","Encoded bitrate","Encoded bitrate","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"350","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"350","a","Price","Price","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"350","b","Form of issue","Form of issue","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"351","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"351","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"351","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"351","a","Organization","Organization","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"351","b","Arrangement","Arrangement","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"351","c","Hierarchical level","Hierarchical level","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","a","Direct reference method","Direct reference method","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","b","Object type","Object type","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","c","Object count","Object count","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","d","Row count","Row count","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","e","Column count","Column count","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","f","Vertical count","Vertical count","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","g","VPF topology level","VPF topology level","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"352","i","Indirect reference description","Indirect reference description","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","a","Security classification","Security classification","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","b","Handling instructions","Handling instructions","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","c","External dissemination information","External dissemination information","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","d","Downgrading or declassification event","Downgrading or declassification event","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","e","Classification system","Classification system","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","f","Country of origin code","Country of origin code","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","g","Downgrading date","Downgrading date","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","h","Declassification date","Declassification date","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"355","j","Authorization","Authorization","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"357","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"357","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"357","a","Originator control term","Originator control term","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"357","b","Originating agency","Originating agency","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"357","c","Authorized recipients of material","Authorized recipients of material","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"357","g","Other restrictions","Other restrictions","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"359","a","Rental price","Rental price","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"362","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"362","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"362","a","Dates of publication and/or sequential designation","Dates of publication and/or sequential designation","0","0","0","biblioitems.volumedesc","3","","","","","-1","ILL","","","","9999","0"
"362","z","Source of information","Source of information","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"365","2","Source of price type code","Source of price type code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"365","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"365","a","Price type code","Price type code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","b","Price amount","Price amount","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","c","Price type code","Price type code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","d","Unit of pricing","Unit of pricing","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","e","Price note","Price note","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","f","Price effective from","Price effective from","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","g","Price effective until","Price effective until","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","h","Tax rate 1","Tax rate 1","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","i","Tax rate 2","Tax rate 2","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","j","ISO country code","ISO country code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","k","MARC country code","MARC country code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"365","m","Identification of pricing entity","Identification of pricing entity","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","2","Source of availability status code","Source of availability status code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"366","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"366","a","Publishers' compressed title identification","Publishers' compressed title identification","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","b","Detailed date of publication","Detailed date of publication","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","c","Availability status code","Availability status code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","d","Expected next availability date","Expected next availability date","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","e","Note","Note","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","f","Publishers' discount category","Publishers' discount category","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","g","Date made out of print","Date made out of print","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","j","ISO country code","ISO country code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","k","MARC country code","MARC country code","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"366","m","Identification of agency","Identification of agency","0","0","0","","3","","","","","-1","ILL","","","","9999","0"
"370","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","2","Source of term","Source of term","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","6","Linkage","Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","c","Associated country","Associated country","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","f","Other associated place","Other associated place","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","g","Place of origin of work","Place of origin of work","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","s","Start period","Start period","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","t","End period","End period","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"370","v","Source of information","Source of information","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"377","1","Language term","Language term","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"377","2","Source","Source","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"377","a","Language code","Language code","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"377","l","Language term","Language term","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"380","0","Record control number","Record control number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"380","2","Source of term","Source of term","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"380","a","Form of work","Form of work","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"381","0","Record control number","Record control number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"381","2","Source of term","Source of term","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"381","a","Other distinguishing characteristic","Other distinguishing characteristic","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"381","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"381","v","Source of information","Source of information","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","0","Authority record control number or standard number ","Authority record control number or standard number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","2","Source of term","Source of term","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","a","Medium of performance","Medium of performance","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","b","Soloist","Soloist","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","d","Doubling instrument","Doubling instrument","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","n","Number of performers of the same medium","Number of performers of the same medium","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","p","Alternative medium of performance","Alternative medium of performance","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","s","Total number of performers","Total number of performers","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"382","v","Note","Note","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"383","2","Source","Source","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"383","a","Serial number","Serial number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"383","b","Opus number","Opus number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"383","c","Thematic index number","Thematic index number","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"383","d","Thematic index code","Thematic index code","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"383","e","Publisher associated with opus number","Publisher associated with opus number","0","0","0","","3","","","","0","0","ILL","","","","9999","0"
"384","a","Key","Key","1","0","0","","3","","","","0","0","ILL","","","","9999","0"
"388","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"388","2","Source of term","Source of term","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"388","3"," Materials specified"," Materials specified","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"388","6"," Linkage"," Linkage","0","0","0","","3","","","","","-6","ILL","","","","9999","0"
"388","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"388","a","Time period of creation term","Time period of creation term","1","0","0","","3","","","","","-6","ILL","","","","9999","0"
"400","4","Relator code","Relator code","1","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","6","Linkage","Linkage","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","8","Field link and sequence number","Field link and sequence number","1","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","9","9 (RLIN)","9 (RLIN)","0","0","0","","4","","","","0","-5","ILL","","","","9999","0"
"400","a","Personal name","Personal name","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","b","Numeration","Numeration","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","d","Dates associated with a name","Dates associated with a name","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","e","Relator term","Relator term","1","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","f","Date of a work","Date of a work","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","g","Miscellaneous information","Miscellaneous information","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","k","Form subheading","Form subheading","1","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","l","Language of a work","Language of a work","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","q","Fuller form of name","Fuller form of name","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","t","Title of a work","Title of a work","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","u","Affiliation","Affiliation","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"400","v","Volume number/sequential designation","Volume number/sequential designation","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"400","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","4","Relator code","Relator code","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","6","Linkage","Linkage","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","8","Field link and sequence number","Field link and sequence number","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","9","9 (RLIN)","9 (RLIN)","0","0","0","","4","","","","0","-6","ILL","","","","9999","0"
"410","a","Corporate name or jurisdiction name as entry element","Corporate name or jurisdiction name as entry element","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","b","Subordinate unit","Subordinate unit","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","c","Location of meeting","Location of meeting","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","d","Date of meeting or treaty signing","Date of meeting or treaty signing","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","e","Relator term","Relator term","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","f","Date of a work","Date of a work","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","g","Miscellaneous information","Miscellaneous information","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","k","Form subheading","Form subheading","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","l","Language of a work","Language of a work","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","n","Number of part/section/meeting","Number of part/section/meeting","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","t","Title of a work","Title of a work","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","u","Affiliation","Affiliation","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","v","Volume number/sequential designation","Volume number/sequential designation","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"410","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","4","Relator code","Relator code","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","6","Linkage","Linkage","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","8","Field link and sequence number","Field link and sequence number","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","9","9 (RLIN)","9 (RLIN)","0","0","0","","4","","","","0","-5","ILL","","","","9999","0"
"411","a","Meeting name or jurisdiction name as entry element","Meeting name or jurisdiction name as entry element","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","b","Number [OBSOLETE]","Number [OBSOLETE]","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","c","Location of meeting","Location of meeting","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","d","Date of meeting","Date of meeting","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","e","Subordinate unit","Subordinate unit","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","f","Date of a work","Date of a work","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","g","Miscellaneous information","Miscellaneous information","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","k","Form subheading","Form subheading","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","l","Language of a work","Language of a work","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","n","Number of part/section/meeting","Number of part/section/meeting","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","q","Name of meeting following jurisdiction name entry element","Name of meeting following jurisdiction name entry element","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","t","Title of a work","Title of a work","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","u","Affiliation","Affiliation","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","v","Volume number/sequential designation","Volume number/sequential designation","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"411","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"440","6","Linkage","Linkage","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"440","8","Field link and sequence number","Field link and sequence number","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"440","9","9 (RLIN)","9 (RLIN)","0","0","0","","4","","","","0","-5","ILL","","","","9999","0"
"440","a","Title","Title","0","0","0","biblio.seriestitle","4","","UNIF_TITLE","","","0","ILL","'440n','440p','490a','830a','830n','830p','899a'","","","9999","0"
"440","n","Number of part/section of a work","Number of part/section of a work","1","0","0","biblioitems.number","4","","","","","0","ILL","","","","9999","0"
"440","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","4","","","","","0","ILL","","","","9999","0"
"440","v","Volume number/sequential designation","Volume number/sequential designation","0","0","0","biblioitems.volume","4","","","","","0","ILL","","","","9999","0"
"440","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","4","","","","","0","ILL","","","","9999","0"
"490","6","Linkage","Linkage","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"490","8","Field link and sequence number","Field link and sequence number","1","0","0","","4","","","","","-6","ILL","","","","9999","0"
"490","a","Series statement","Series statement","1","0","0","","4","","","","","-1","ILL","","","","9999","0"
"490","l","Library of Congress call number","Library of Congress call number","0","0","0","","4","","","","","-6","ILL","","","","9999","0"
"490","v","Volume number/sequential designation","Volume number/sequential designation","1","0","0","","4","","","","","-1","ILL","","","","9999","0"
"490","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","4","","","","","-1","ILL","","","","9999","0"
"500","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"500","5","Institution to which field applies","Institution to which field applies","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"500","6","Linkage","Linkage","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"500","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","ILL","","","","9999","0"
"500","a","General note","General note","0","0","0","biblio.notes","5","","","","","0","ILL","","","","9999","0"
"500","l","Library of Congress call number (SE) [OBSOLETE]","Library of Congress call number (SE) [OBSOLETE]","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"500","n","n (RLIN) [OBSOLETE]","n (RLIN) [OBSOLETE]","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"500","x","International Standard Serial Number (SE) [OBSOLETE]","International Standard Serial Number (SE) [OBSOLETE]","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"500","z","Source of note information (AM SE) [OBSOLETE]","Source of note information (AM SE) [OBSOLETE]","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"501","5","Institution to which field applies","Institution to which field applies","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"501","6","Linkage","Linkage","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"501","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","ILL","","","","9999","0"
"501","a","With note","With note","0","0","0","","5","","","","","0","ILL","","","","9999","0"
"502","6","Linkage","Linkage","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"502","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","ILL","","","","9999","0"
"502","a","Dissertation note","Dissertation note","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"503","8","Linkage","Linkage","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"503","a","Bibliographic history note","Bibliographic history note","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"504","6","Linkage","Linkage","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"504","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","ILL","","","","9999","0"
"504","a","Bibliography, etc","Bibliography, etc","0","0","0","","5","","","","","0","ILL","","","","9999","0"
"504","b","Number of references","Number of references","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
"505","6","Linkage","Linkage","0","0","0","","5","","","","","-6","ILL","","","","9999","0"
